Data da coleta,Nome da ETA / UTA,Resultado,week,millis,date,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_stdDev,NDCI_min,NDCI_max,NDCI_mean,NDCI_median,NDCI_stdDev
2019-02-25,MOINHOS DE VENTO,298,2019-02-25/2019-03-03,1551447049000,2019-03-01 13:30:49,-0.8285714285714285,-0.5734767025089605,-0.763508980430042,-0.7744964378153082,0.0430548592964034,-0.165596919127086,-0.0778443113772455,-0.1331475909764151,-0.1339834046352578,0.0144683020440527
2019-12-20,MOINHOS DE VENTO,0,2019-12-16/2019-12-22,1576762841487,2019-12-19 13:40:41,-0.31175468483816,-0.0767380322347846,-0.1493187367197898,-0.149737395411771,0.0341072740743959,-0.074585635359116,0.0205675605311116,-0.011791255860585,-0.012079750184832,0.0135513900356926
2020-12-09,MOINHOS DE VENTO,1486,2020-12-07/2020-12-13,1607607048511,2020-12-10 13:30:48,-0.5245170876671621,-0.3946360153256704,-0.4471501661560683,-0.4419304667830346,0.0293169611014962,-0.0653658536585365,0.0460652591170825,0.0076733139681722,0.0060025584394205,0.0177240713617106
2019-07-01,MOINHOS DE VENTO,600,2019-07-01/2019-07-07,1562506851691,2019-07-07 13:40:51,-0.7096424702058506,-0.5413450937155458,-0.6731132976743506,-0.6773786740201134,0.0240468768964434,-0.1426470588235294,-0.0869565217391304,-0.1181890220556747,-0.119036141482744,0.0098767268412126
2019-11-18,MOINHOS DE VENTO,0,2019-11-18/2019-11-24,1574170844418,2019-11-19 13:40:44,-0.2050274941084054,-0.1019920318725099,-0.1531932374531459,-0.1531763791412422,0.013656028116572,-0.0357142857142856,0.0174478275744098,-0.0140603059041076,-0.0142266242482372,0.0077388601345139
2019-11-18,MOINHOS DE VENTO,0,2019-11-18/2019-11-24,1574343052016,2019-11-21 13:30:52,-0.5353535353535355,-0.277445109780439,-0.4905684120410773,-0.4972019201665516,0.0333533444317931,-0.1117824773413897,0.0285714285714285,-0.0234706735681081,-0.0230109230472947,0.0121564780521849
2020-06-23,MOINHOS DE VENTO,556,2020-06-22/2020-06-28,1593351056415,2020-06-28 13:30:56,-0.585427135678392,-0.3300370828182942,-0.5285706239657544,-0.5297803736658883,0.0342792112510141,-0.116237799467613,-0.0344234079173837,-0.0836372135885534,-0.0842243394376704,0.0136336808153481
2021-02-25,MOINHOS DE VENTO,612,2021-02-22/2021-02-28,1614346846421,2021-02-26 13:40:46,-0.6011816838995568,-0.0263157894736841,-0.4593347489396895,-0.4674668355435561,0.0662931842497926,-0.1144465290806754,0.146875,-0.0378582191677083,-0.0380191981526825,0.0215922376748522
2021-12-29,MOINHOS DE VENTO,2772,2021-12-27/2022-01-02,1640698842313,2021-12-28 13:40:42,-0.5142857142857143,-0.091342335186656,-0.2051010955804391,-0.176947405292954,0.0926490946098195,-0.0979228486646884,0.0234059725585148,-0.0343485904888689,-0.0324968843185249,0.0192509018349546
2021-12-29,MOINHOS DE VENTO,2772,2021-12-27/2022-01-02,1640871052796,2021-12-30 13:30:52,-0.6601769911504424,-0.4388059701492537,-0.5800155277869457,-0.5795691558538277,0.0323644484357018,-0.0787486515641855,0.0,-0.0466374862991516,-0.0465937977495457,0.0117520769512555
2022-01-11,MOINHOS DE VENTO,28508,2022-01-10/2022-01-16,1641994847679,2022-01-12 13:40:47,-0.1252144082332761,-0.054488842760768,-0.0894995655335568,-0.0906791969023458,0.0127830909612242,0.0139130434782609,0.0684931506849314,0.0362506990732005,0.0347785858630576,0.0115592265907693
2022-01-11,MOINHOS DE VENTO,28508,2022-01-10/2022-01-16,1642167046940,2022-01-14 13:30:46,-0.5461741424802111,-0.3057851239669421,-0.4672775489237202,-0.4742012733161604,0.0420085557073827,0.004754358161648,0.125904486251809,0.0835441706875146,0.0843287398395518,0.0183472686662261
2019-03-18,MOINHOS DE VENTO,76,2019-03-18/2019-03-24,1553002844000,2019-03-19 13:40:44,-0.0847562388936104,0.0471630976256711,-0.0231255933883903,-0.0237126665173474,0.0218708348374099,0.0166143380429094,0.0475513540407988,0.0346016554748942,0.035187227372322,0.0055644238215427
2019-03-18,MOINHOS DE VENTO,76,2019-03-18/2019-03-24,1553175050000,2019-03-21 13:30:50,-0.6482758620689656,-0.0680544435548439,-0.6006621082880984,-0.6076913362866442,0.0442182967833235,-0.1228346456692913,-0.0657051282051282,-0.0976777023352968,-0.0987945365347143,0.0106046898608934
2019-03-18,MOINHOS DE VENTO,76,2019-03-18/2019-03-24,1553434847000,2019-03-24 13:40:47,-0.6494117647058825,-0.509009009009009,-0.6147810268776952,-0.6207551566349763,0.0238180888136398,-0.1161290322580644,-0.072,-0.0955107366070961,-0.0951046071365249,0.0075326580579119
2019-01-28,MOINHOS DE VENTO,251,2019-01-28/2019-02-03,1548682843000,2019-01-28 13:40:43,-0.5650172612197929,0.0157116451016635,-0.4384632597543738,-0.4506306392843704,0.0893562649003755,-0.0975020145044319,0.1701526286037309,-0.0345953051203384,-0.0361233408580409,0.0261636997833881
2019-05-20,MOINHOS DE VENTO,374,2019-05-20/2019-05-26,1558791054000,2019-05-25 13:30:54,-0.5957446808510638,-0.0824337585868499,-0.5138187336811428,-0.5333101273190246,0.0923995749656422,-0.1009615384615384,0.0652542372881355,-0.0590233674457321,-0.0629037411935892,0.0202600146794424
